county,year,MAE,R2
Kildare,2020,0.13660930892543427,-0.3124991837787401
Kildare,2021,0.06664343857697122,-0.7186104148471912
Kildare,2022,0.03712161193922692,-0.26498980191437793
Kildare,2023,0.25961946402572567,-0.37865801989788883
Kilkenny,2010,0.2178498007042228,0.1079877934214869
Kilkenny,2011,0.2939974288057205,-1.9958337607108385
Kilkenny,2012,0.3697819507104293,-0.09034056482814568
Kilkenny,2013,5.490937745622198,-537.7386395982194
Kilkenny,2014,39635.6521900817,-5614136512.761459
Kilkenny,2015,0.33419832684473355,-121.36921959525993
Kilkenny,2016,0.6662727905751942,
Kilkenny,2017,3.402047757244214,-6055.870449236933
Kilkenny,2018,18.298062816544366,-24964965.886225987
Kilkenny,2019,0.22101737043116387,0.014200194405686317
